district,224,2011,Girls Toilet ,2015,1327
district,224,2011,Boys Toilet ,2015,1501
district,224,2011,Drinking Water ,2015,1944
district,224,2011,Electricity ,2015,817
district,224,2011,Computer ,2015,184
district,506,2011,Playground ,2015,1186
district,506,2011,Boundarywall ,2015,1107
district,506,2011,Girls Toilet ,2015,1211
district,506,2011,Boys Toilet ,2015,1214
district,506,2011,Drinking Water ,2015,1221
district,506,2011,Electricity ,2015,1201
district,506,2011,Computer ,2015,549
district,105,2011,Playground ,2015,1781
district,105,2011,Boundarywall ,2015,2865
district,105,2011,Girls Toilet ,2015,3023
district,105,2011,Boys Toilet ,2015,3122
district,105,2011,Drinking Water ,2015,2929
district,105,2011,Electricity ,2015,1841
district,105,2011,Computer ,2015,878
district,488,2011,Playground ,2015,835
district,488,2011,Boundarywall ,2015,1148
district,488,2011,Girls Toilet ,2015,1159
district,488,2011,Boys Toilet ,2015,1151
district,488,2011,Drinking Water ,2015,1211
district,488,2011,Electricity ,2015,1210
district,488,2011,Computer ,2015,990
district,481,2011,Playground ,2015,1029
district,481,2011,Boundarywall ,2015,1278
district,481,2011,Girls Toilet ,2015,1247
district,481,2011,Boys Toilet ,2015,1232
district,481,2011,Drinking Water ,2015,1317
district,481,2011,Electricity ,2015,1317
district,481,2011,Computer ,2015,1237
district,122,2011,Playground ,2015,2267
district,122,2011,Boundarywall ,2015,3164
district,122,2011,Girls Toilet ,2015,4099
district,122,2011,Boys Toilet ,2015,3951
district,122,2011,Drinking Water ,2015,4036
district,122,2011,Electricity ,2015,2138
district,122,2011,Computer ,2015,782
district,420,2011,Playground ,2015,2235
district,420,2011,Boundarywall ,2015,1422
district,420,2011,Girls Toilet ,2015,3062
district,420,2011,Boys Toilet ,2015,3053
district,420,2011,Drinking Water ,2015,3113
district,420,2011,Electricity ,2015,794
district,420,2011,Computer ,2015,464
district,81,2011,Playground ,2015,1324
district,81,2011,Boundarywall ,2015,1634
district,81,2011,Girls Toilet ,2015,1418
district,81,2011,Boys Toilet ,2015,1483
district,81,2011,Drinking Water ,2015,1654
district,81,2011,Electricity ,2015,1605
district,81,2011,Computer ,2015,766
district,231,2011,Playground ,2015,513
district,231,2011,Boundarywall ,2015,1261
district,231,2011,Girls Toilet ,2015,1386
district,231,2011,Boys Toilet ,2015,1834
district,231,2011,Drinking Water ,2015,2015
district,231,2011,Electricity ,2015,352
district,231,2011,Computer ,2015,154
district,444,2011,Playground ,2015,1975
district,444,2011,Boundarywall ,2015,2293
district,444,2011,Girls Toilet ,2015,3043
district,444,2011,Boys Toilet ,2015,3025
district,444,2011,Drinking Water ,2015,3088
district,444,2011,Electricity ,2015,2005
district,444,2011,Computer ,2015,1384
district,523,2011,Playground ,2015,2155
district,523,2011,Boundarywall ,2015,1589
district,523,2011,Girls Toilet ,2015,2904
district,523,2011,Boys Toilet ,2015,3135
district,523,2011,Drinking Water ,2015,3305
district,523,2011,Electricity ,2015,2098
district,523,2011,Computer ,2015,1267
district,558,2011,Playground ,2015,1475
district,558,2011,Boundarywall ,2015,1399
